iter	RMSE
0	0.4851485666
1	0.4825668206
2	0.4798684304
3	0.4767716966
4	0.4743554151
5	0.4722450567
6	0.4694188642
7	0.4661059095
8	0.4643751696
9	0.461483461
10	0.4598620701
11	0.4573004427
12	0.4547674189
13	0.4521661139
14	0.450122763
15	0.447443357
16	0.4456447243
17	0.4428122602
18	0.440350771
19	0.4387212664
20	0.4369189913
21	0.4342241719
22	0.4327687571
23	0.4306022261
24	0.4286930787
25	0.4264038368
26	0.4247946516
27	0.4230914608
28	0.4218142827
29	0.4194014475
30	0.41742263
31	0.4168305049
32	0.4139583233
33	0.41070897
34	0.4096791213
35	0.4082231477
36	0.4057545835
37	0.4029707616
38	0.4016561129
39	0.3991813327
40	0.3966136471
41	0.3947998803
42	0.3936482071
43	0.3916038334
44	0.3902926541
45	0.3889080655
46	0.3860761853
47	0.3843026346
48	0.3824834223
49	0.3798124924
50	0.3781447854
51	0.3759556792
52	0.374331167
53	0.3729776047
54	0.3714323012
55	0.3698167369
56	0.3679456465
57	0.3661518676
58	0.3648329687
59	0.3624184953
60	0.3616494402
61	0.3612075959
62	0.3592473373
63	0.357652701
64	0.3555174849
65	0.3535430321
66	0.3524748371
67	0.350760956
68	0.3492406433
69	0.3468699674
70	0.3452200824
71	0.3437967074
72	0.3427601685
73	0.3402913625
74	0.3389495487
75	0.3379504278
76	0.3369293419
77	0.3360130245
78	0.3340577521
79	0.3335355729
80	0.3325174532
81	0.3309665128
82	0.3298714065
83	0.3282129211
84	0.3269337723
85	0.3254628746
86	0.3250369341
87	0.3229907806
88	0.3209369553
89	0.320189613
90	0.3193554648
91	0.317332528
92	0.31651206
93	0.3148658489
94	0.3130870748
95	0.3114973014
96	0.3103963383
97	0.3091245747
98	0.3072197817
99	0.305575733
100	0.3052211494
101	0.3036497306
102	0.3029051445
103	0.3016617133
104	0.3003966647
105	0.2990722451
106	0.2973605356
107	0.2964546807
108	0.2951503636
109	0.2942598249
110	0.2931195921
111	0.2926840373
112	0.2903854501
113	0.2885566264
114	0.2876970985
115	0.2866303979
116	0.2852875611
117	0.2837027614
118	0.2832045881
119	0.2812891429
120	0.2801716834
121	0.2797678392
122	0.2786790477
123	0.2775287614
124	0.2767265446
125	0.2751335243
126	0.274008947
127	0.2719937732
128	0.2714442104
129	0.2707730163
130	0.2693402271
131	0.26815583
132	0.267197849
133	0.2656518804
134	0.2644386697
135	0.263586024
136	0.2624053501
137	0.2619797546
138	0.2612075159
139	0.2599674903
140	0.2585676081
141	0.2581034857
142	0.2575502528
143	0.2566342449
144	0.2558359245
145	0.2549154599
146	0.2546139588
147	0.2533917848
148	0.2526679641
149	0.2515110533
150	0.2507856911
151	0.2496857127
152	0.2482142566
153	0.2472447009
154	0.2457563299
155	0.2450261605
156	0.2440589793
157	0.2435133332
158	0.2419419156
159	0.2410871017
160	0.2404854742
161	0.238940597
162	0.2382010803
163	0.2370245168
164	0.2356358586
165	0.2340145869
166	0.2324546611
167	0.2317974118
168	0.2312058704
169	0.2299000376
170	0.2289591546
171	0.2284801801
172	0.2273206066
173	0.2270356597
174	0.2258882134
175	0.2246638122
176	0.2235145574
177	0.2230556585
178	0.2225266874
179	0.2221447811
180	0.2210907071
181	0.2208339969
182	0.2203029855
183	0.2190729514
184	0.2185464218
185	0.218183892
186	0.2176214004
187	0.2165324533
188	0.216117009
189	0.2155962584
190	0.2149363192
191	0.2145847887
192	0.2142371941
193	0.2139185141
194	0.2136663975
195	0.2129251708
196	0.212530066
197	0.2121238661
198	0.2110925443
199	0.2102124391
200	0.2098631634
201	0.2091171824
202	0.2081993826
203	0.207076209
204	0.2060905335
205	0.2055641312
206	0.2051613655
207	0.204628753
208	0.2042983625
209	0.2038301846
210	0.2035549175
211	0.2024640779
212	0.2009727052
213	0.2006233422
214	0.199466024
215	0.1990973003
216	0.1989041318
217	0.1986057492
218	0.1979519885
219	0.1976583991
220	0.197330647
221	0.1965166127
222	0.1949570165
223	0.1942495093
224	0.1938858646
225	0.1936252112
226	0.1928052695
227	0.1920386274
228	0.191224646
229	0.1898491555
230	0.1896380799
231	0.1884040869
232	0.1881179092
233	0.187503801
234	0.186573796
235	0.1863340528
236	0.1860901613
237	0.1858874489
238	0.1856165205
239	0.1853783174
240	0.1844388593
241	0.1833383705
242	0.1831342002
243	0.1828917429
244	0.1825151281
245	0.1817235473
246	0.1814841556
247	0.1802383436
248	0.1793622045
249	0.1785106904
250	0.1783186516
251	0.1777421851
252	0.1774837047
253	0.1772619915
254	0.1764827119
255	0.1762495465
256	0.1756094178
257	0.1754553231
258	0.1752077082
259	0.1749775801
260	0.174691993
261	0.1736850966
262	0.1725935681
263	0.1723428611
264	0.1716628922
265	0.171374149
266	0.1699502621
267	0.16977819
268	0.1694676412
269	0.1693088186
270	0.1683013009
271	0.1673688337
272	0.1670498446
273	0.1663101898
274	0.1657289196
275	0.1648601412
276	0.1642206526
277	0.1635404872
278	0.1632570811
279	0.1629961098
280	0.1627613278
281	0.1623007081
282	0.1621452053
283	0.1619077274
284	0.1611450057
285	0.1608795913
286	0.1606278334
287	0.1603700717
288	0.1602327745
289	0.1599843169
290	0.1592276863
291	0.1588436607
292	0.1587055889
293	0.1580448562
294	0.1578188127
295	0.1565933783
296	0.1563989375
297	0.1561779465
298	0.155096159
299	0.1544206138
300	0.1542414199
301	0.1533924005
302	0.153247041
303	0.1525041714
304	0.1518083027
305	0.1509788489
306	0.1496469907
307	0.1487861099
308	0.1484546258
309	0.1474744957
310	0.146831306
311	0.1462137771
312	0.1457446094
313	0.1448893291
314	0.1443834791
315	0.1433874735
316	0.1424287134
317	0.1422285968
318	0.1419671846
319	0.1418089706
320	0.1416833909
321	0.1415383944
322	0.140495557
323	0.140060633
324	0.1398997048
325	0.1397230597
326	0.1393761788
327	0.1391938611
328	0.138511974
329	0.1381981515
330	0.1376292462
331	0.1374507159
332	0.1373102785
333	0.1369222618
334	0.1368020108
335	0.1357869058
336	0.1355805503
337	0.1351729102
338	0.1346466649
339	0.1337875749
340	0.1334964556
341	0.1328945585
342	0.1321015191
343	0.1319516883
344	0.131804988
345	0.1316119536
346	0.1314151974
347	0.1310056247
348	0.1308349759
349	0.1306461205
350	0.1304287685
351	0.1303193294
352	0.1300121883
353	0.1299048947
354	0.1297650209
355	0.1291579011
356	0.1281287323
357	0.128024972
358	0.1278727132
359	0.1273418052
360	0.1265156459
361	0.1256055855
362	0.1254619519
363	0.1253417398
364	0.1247124436
365	0.1244889613
366	0.1243000791
367	0.1234560812
368	0.1232412891
369	0.1226999621
370	0.1225935775
371	0.1217700599
372	0.1211909447
373	0.1203543176
374	0.1202055679
375	0.1200905837
376	0.119911807
377	0.119452084
378	0.1189478121
379	0.1180861652
380	0.1176290674
381	0.1168463981
382	0.1160761778
383	0.1159815629
384	0.1154318242
385	0.1147524935
386	0.1145783896
387	0.1142372523
388	0.1135060607
389	0.1128012702
390	0.112174952
391	0.1120811915
392	0.1114534413
393	0.1107582378
394	0.1104703576
395	0.1103808707
396	0.110011751
397	0.1092628779
398	0.1091790072
399	0.1085500316
400	0.1084546221
401	0.1076408179
402	0.1070744028
403	0.1065356037
404	0.1060958373
405	0.1058233925
406	0.105346962
407	0.1050724114
408	0.1046466726
409	0.1045794949
410	0.1041651771
411	0.1040827432
412	0.1039993716
413	0.1037413555
414	0.1036654136
415	0.1028377678
416	0.102560671
417	0.1020803859
418	0.102009798
419	0.1014896143
420	0.1010683976
421	0.1006045775
422	0.1004156835
423	0.100040238
424	0.09957452431
425	0.09928838493
426	0.0988982671
427	0.09844852996
428	0.09815146382
429	0.09756558766
430	0.09679911695
431	0.09645920287
432	0.09583606125
433	0.09562745045
434	0.09508138852
435	0.09466111919
436	0.09426887537
437	0.09417760511
438	0.09353018586
439	0.09277464137
440	0.09270244064
441	0.09257111495
442	0.09211146234
443	0.09149296358
444	0.09143233817
445	0.09088911203
446	0.09081303961
447	0.0902292731
448	0.08966783448
449	0.08920570528
450	0.08914081824
451	0.08895043797
452	0.08877653134
453	0.08869229481
454	0.08823159319
455	0.08789933472
456	0.08746569268
457	0.08690898167
458	0.086445077
459	0.08638439838
460	0.08611457131
461	0.08564758342
462	0.08553771644
463	0.0851175505
464	0.08479760834
465	0.08448962774
466	0.08415256428
467	0.08364252975
468	0.08318866904
469	0.08261885436
470	0.08222029007
471	0.08169131632
472	0.08157235855
473	0.08125519475
474	0.08084010143
475	0.08062771965
476	0.08025967205
477	0.079976033
478	0.07989263051
479	0.07968575743
480	0.07938644014
481	0.07892008799
482	0.078442519
483	0.07806816282
484	0.07797592836
485	0.07752753974
486	0.07711770474
487	0.07666658265
488	0.07629997951
489	0.07584162054
490	0.07535812231
491	0.07510612847
492	0.07472223343
493	0.07418850322
494	0.07389881519
495	0.07334401336
496	0.0732581628
497	0.07281508024
498	0.07247445512
499	0.07231792203
500	0.07205478438
501	0.07176597378
502	0.07135935538
503	0.07089683252
504	0.07052161732
505	0.07031795805
506	0.07020142274
507	0.07010112434
508	0.06974071389
509	0.06963774231
510	0.06916668345
511	0.06885366939
512	0.06867922035
513	0.06824951837
514	0.06780583521
515	0.06772541162
516	0.06754118364
517	0.06720985428
518	0.06676021019
519	0.06644612178
520	0.06631881892
521	0.0662267064
522	0.06616435352
523	0.06612075748
524	0.06596721758
525	0.06575387266
526	0.06539327397
527	0.06534240919
528	0.06512561548
529	0.06506751037
530	0.06489155405
531	0.06475736912
532	0.06455073572
533	0.06439102099
534	0.06419257516
535	0.06397111022
536	0.06374187651
537	0.0636418629
538	0.06355863862
539	0.06326056584
540	0.06288198319
541	0.06278680147
542	0.06236598649
543	0.06205822314
544	0.06186936169
545	0.06146818779
546	0.06104983074
547	0.06059620612
548	0.06033682693
549	0.06000448671
550	0.05964230513
551	0.059490562
552	0.05922784946
553	0.05915256599
554	0.05872692545
555	0.05864056698
556	0.05833678126
557	0.05827916331
558	0.05801187108
559	0.05773495343
560	0.05747011754
561	0.05741241034
562	0.05737110352
563	0.05709963513
564	0.05688324641
565	0.05677753305
566	0.05673175049
567	0.05653927507
568	0.05621881368
569	0.05616900237
570	0.0558623051
571	0.05563596821
572	0.05544435772
573	0.05539713711
574	0.05526143942
575	0.05493367126
576	0.05477244182
577	0.05448712822
578	0.05440189354
579	0.05416811909
580	0.05399078561
581	0.05360465746
582	0.05343593925
583	0.05328046649
584	0.05304311581
585	0.05278260332
586	0.05274044072
587	0.05254115108
588	0.05241832914
589	0.0521195962
590	0.05205547629
591	0.05201132242
592	0.05173759227
593	0.05168275755
594	0.05163293487
595	0.0514486953
596	0.0511419088
597	0.05110881906
598	0.05084112431
